team,teamID,group,fifarank,fifapoints,odds
Brazil,1,A,4,1210,3
Croatia,2,A,20,871,200
Mexico,3,A,19,877,150
Cameroon,4,A,50,583,1500
Spain,5,B,1,1460,7
Netherlands,6,B,15,967,33
Chile,7,B,13,1037,50
Australia,8,B,59,545,1500
Colombia,9,C,5,1186,33
Greece,10,C,10,1082,350
Cote d'Ivoire,11,C,21,830,150
Japan,12,C,47,613,200
Uruguay,13,D,6,1181,28
Costa Rica,14,D,34,748,4000
England,15,D,11,1043,33
Italy,16,D,9,1115,28
Switzerland,17,E,8,1161,125
Equador,18,E,28,794,179
France,19,E,16,935,25
Honduras,20,E,30,759,5000
Argentina,21,F,7,1178,5
Bosnia-Herzegovina,22,F,25,795,200
Iran,23,F,37,715,3000
Nigeria,24,F,44,631,300
Germany,25,G,2,1340,6
Portugal,26,G,3,1245,33
Ghana,27,G,38,713,250
USA,28,G,14,1015,200
Belgium,29,H,12,1039,20
Algeria,30,H,25,795,3000
Russia,31,H,18,903,100
Korea Republic,32,H,55,551,500
