team,teamID,,match,matchID
Brazil,1,,01-Feb,1
Croatia,2,,,2
Mexico,3,,,3
Cameroon,4,,,4
Spain,5,,,5
Netherlands,6,,,6
Chile,7,,,7
Australia,8,,,8
Colombia,9,,,9
Greece,10,,,10
Cote d'Ivoire,11,,,11
Japan,12,,,12
Uruguay,13,,,13
Costa Rica,14,,,14
England,15,,,15
Italy,16,,,16
Switzerland,17,,,17
Equador,18,,,18
France,19,,,19
Honduras,20,,,20
Argentina,21,,,21
Bosnia-Herzegovina,22,,,22
Iran,23,,,23
Nigeria,24,,,24
Germany,25,,,25
Portugal,26,,,26
Ghana,27,,,27
USA,28,,,28
Belgium,29,,,29
Algeria,30,,,30
Russia,31,,,
Korea Republic,32,,,
